[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-13-14-11-51-123183-aidankwok-1564
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: takeoff_rtl_node
[launch_setup] data_subfolder: /home/aidankwok/Drone/data/takeoff_rtl_node_8_05-13_14:11
[launch_setup] >>> Appending takeoff_rtl_node
[INFO] [mavros_node-1]: process started with pid [1581]
[INFO] [track_person-2]: process started with pid [1583]
[INFO] [takeoff_rtl_node-3]: process started with pid [1585]
[mavros_node-1] [INFO] [1778695911.447117995] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1778695911.447683674] [mavros_node]: FCU URL: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778695911.447767507] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1778695911.447802543] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1778695911.447830617] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1778695911.477185612] [mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1778695911.479835956] [mavros_router]: Built-in MAVLink package version: 2026.3.3
[mavros_node-1] [INFO] [1778695911.481755160] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1778695911.482512764] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1778695911.483093221] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1778695911.649524762] [mavros_router]: Requested to add endpoint: type: 0, url: udp://127.0.0.1:14550@
[mavros_node-1] [INFO] [1778695911.652438752] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1778695911.656612212] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1778695911.659314686] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1778695911.662333953] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1778695911.665342720] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [INFO] [1778695911.700745674] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1778695911.712311304] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1778695911.747748776] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1778695911.749998273] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1778695911.877663410] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1778695911.878686622] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1778695911.948724502] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1778695911.953645398] [mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1778695912.023181338] [mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1778695912.027263947] [mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1778695912.108097703] [mavros]: Plugin camera created
[mavros_node-1] [INFO] [1778695912.112861194] [mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1778695912.201086490] [mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1778695912.206628881] [mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1778695912.354155864] [mavros_router]: link[1000] detected remote address 254.190
[mavros_node-1] [INFO] [1778695912.385372618] [mavros]: Plugin command created
[mavros_node-1] [INFO] [1778695912.396939451] [mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1778695912.530020295] [mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1778695912.540392528] [mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1778695912.654631017] [mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1778695912.662439312] [mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1778695912.768616417] [mavros.distance_sensor]: DS: Plugin not configured!
[mavros_node-1] [INFO] [1778695912.776723412] [mavros]: Plugin distance_sensor created
[mavros_node-1] [INFO] [1778695912.781615106] [mavros]: Plugin distance_sensor initialized
[mavros_node-1] [INFO] [1778695912.922103749] [mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1778695912.922385265] [mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1778695913.064124896] [mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1778695913.071732267] [mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1778695913.152880761] [mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1778695913.153172573] [mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1778695913.249353756] [mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1778695913.249586105] [mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1778695913.312200204] [mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1778695913.312569182] [mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1778695913.424156345] [mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1778695913.424505212] [mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1778695913.543494711] [mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1778695913.543914837] [mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1778695913.601526244] [mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1778695913.602061146] [mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1778695913.661736125] [mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1778695913.662068344] [mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1778695913.732124260] [mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1778695913.732404091] [mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1778695913.795162226] [mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1778695913.795409001] [mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1778695913.879682298] [mavros]: Plugin hil created
[mavros_node-1] [INFO] [1778695913.879999277] [mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1778695913.948660873] [mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1778695913.948924870] [mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1778695914.040303266] [mavros]: Plugin imu created
[mavros_node-1] [INFO] [1778695914.040600615] [mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1778695914.138983591] [mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1778695914.139294551] [mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1778695914.254980434] [mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1778695914.260390215] [mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1778695914.441964832] [mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1778695914.442237996] [mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1778695914.554388006] [mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1778695914.560620112] [mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1778695914.687000170] [mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1778695914.687275278] [mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1778695914.763200767] [mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1778695914.763423302] [mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1778695914.861635650] [mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1778695914.861901425] [mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1778695914.940455815] [mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1778695914.940763627] [mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1778695915.021451848] [mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1778695915.021849418] [mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1778695915.100392289] [mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1778695915.100637546] [mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1778695915.185307099] [mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1778695915.185609411] [mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1778695915.278903269] [mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1778695915.279162304] [mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1778695915.385471407] [mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1778695915.385690127] [mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1778695915.489038185] [mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1778695915.489311608] [mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1778695915.489401422] [mavros]: Plugin param ignored
[mavros_node-1] [INFO] [1778695915.575155668] [mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1778695915.575414944] [mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1778695915.913423662] [mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1778695915.913754103] [mavros]: Plugin px4flow initialized
[takeoff_rtl_node-3] [INFO] [1778695916.347288325] [takeoff_rtl_node]: Waiting for FCU connection...
[mavros_node-1] [INFO] [1778695916.385797342] [mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1778695916.386242338] [mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1778695916.563659032] [mavros]: Plugin rangefinder created
[mavros_node-1] [INFO] [1778695916.563935400] [mavros]: Plugin rangefinder initialized
[mavros_node-1] [INFO] [1778695916.919221267] [mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1778695916.919495505] [mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1778695917.026791228] [mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1778695917.027043985] [mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1778695917.159547502] [mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1778695917.160701232] [mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1778695917.344662771] [mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1778695917.345771260] [mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1778695917.508528578] [mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1778695917.508844760] [mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1778695917.637441463] [mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1778695917.637724035] [mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1778695917.753845302] [mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1778695917.754403908] [mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1778695917.873510981] [mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1778695917.873828089] [mavros]: Plugin sim_state initialized
[mavros_node-1] [INFO] [1778695918.069057686] [mavros]: Plugin sys_status created
[mavros_node-1] [INFO] [1778695918.069432127] [mavros]: Plugin sys_status initialized
[mavros_node-1] [INFO] [1778695918.167665938] [mavros.time]: TM: Timesync mode: MAVLINK
[mavros_node-1] [INFO] [1778695918.202709507] [mavros]: Plugin sys_time created
