[INFO] [launch]: All log files can be found below /home/aidankwok/.ros/log/2026-05-06-19-58-35-731288-aidankwok-3400
[INFO] [launch]: Default logging verbosity is set to INFO
[launch_setup] control_node: intercept_node
[launch_setup] data_subfolder: /home/aidankwok/Drone/data/intercept_node_2_05-06_19:58
[launch_setup] >>> Appending intercept_node
[INFO] [mavros_node-1]: process started with pid [3417]
[mavros_node-1] [INFO] [1778111919.721823177] [mavros]: Plugin landing_target initialized
[intercept_node-3] [INFO] [1778111919.866380487] [intercept_node]: Waiting for FCU connection...
[mavros_node-1] [INFO] [1778111919.897868663] [mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1778111919.898173178] [mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1778111919.992286065] [mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1778111919.994451052] [mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1778111920.072522689] [mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1778111920.072810073] [mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1778111920.175311266] [mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1778111920.175576855] [mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1778111920.273208007] [mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1778111920.273410745] [mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1778111920.399076215] [mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1778111920.401261665] [mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1778111920.500382425] [mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1778111920.500620774] [mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1778111920.588624360] [mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1778111920.588848301] [mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1778111920.688257853] [mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1778111920.688481221] [mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1778111920.791485054] [mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1778111920.793641227] [mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1778111920.892501361] [mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1778111920.894857716] [mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1778111920.994712613] [mavros]: Plugin open_drone_id created
